,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
5996,2302220.0,5489000,4697000,4655000,0,0,0,0,0,2157000,1468000,972000
5997,2302280.0,982000,652000,549000,0,0,0,0,0,278000,224000,188000
5998,2302500.0,842000,627000,0,617000,0,0,0,0,318000,214000,136000
5999,2302510.0,2146000,1213000,1182000,0,0,0,0,0,1076000,765000,513000
6000,2302610.0,45786000,17301000,16106000,0,0,0,0,0,22514000,16557000,10534000
6001,2302640.0,32657000,13609000,12246000,0,0,0,0,0,15732000,10623000,6173000
6002,2302730.0,5049000,3982000,2276000,0,0,0,0,0,2307000,1561000,1226000
6003,2302790.0,179000,123000,112000,0,0,0,0,0,0,0,0
6004,2302820.0,50647000,26362000,24508000,0,0,0,0,0,27621000,19628000,14582000
6005,2302850.0,6294000,5270000,5176000,0,0,0,0,0,3333000,2374000,1738000
6006,2302880.0,295000,133000,110000,0,0,0,0,0,0,0,0
6007,2302950.0,906000,652000,638000,0,0,0,0,0,466000,361000,263000
6008,2302960.0,45000,41000,41000,0,0,0,0,0,4000,0,0
6009,2302980.0,64000,63000,63000,0,0,0,0,0,0,0,0
6010,2303150.0,39279000,23343000,22216000,0,0,0,0,0,20448000,13667000,8933000
6011,2303210.0,5407000,4797000,4711000,0,0,0,0,0,2307000,1671000,1213000
6012,2303290.0,10446000,8652000,0,7889000,0,0,0,0,5657000,4019000,2810000
6013,2303390.0,85000,84000,80000,0,0,0,0,0,10000,0,0
6014,2303480.0,350000,333000,333000,0,0,0,0,0,1000,0,0
6015,2303510.0,22866000,10374000,7140000,0,0,0,0,0,10831000,7969000,5632000
6016,2303600.0,4605000,4090000,4012000,0,0,0,0,0,1568000,1182000,965000
6017,2303610.0,1641000,1488000,1471000,0,0,0,0,0,676000,476000,368000
6018,2303640.0,189000,32000,0,0,0,0,0,0,766000,547000,459000
6019,2303780.0,40739000,26361000,25526000,0,0,0,0,0,21520000,14253000,10590000
